Time(s),Set Current,Actual Current,Velocity of Vehicle (mph),Speed,Packets Recieved,Packet Errors
6.871809,0.001000,0.001000,0.000000,0.000000,328.000000,0.000000.
6.897521,0.001000,0.001000,0.000000,0.000000,329.000000,0.000000.
6.932844,0.001000,0.001000,0.000000,0.000000,330.000000,0.000000.
6.944447,0.001000,0.001000,0.000000,0.000000,331.000000,0.000000.
6.969129,0.001000,0.001000,0.000000,0.000000,332.000000,0.000000.
6.986972,0.001000,0.001000,0.000000,0.000000,333.000000,0.000000.
7.012952,0.001000,0.001000,0.000000,0.000000,334.000000,0.000000.
7.043209,0.001000,0.001000,0.000000,0.000000,335.000000,0.000000.
7.059738,0.001000,0.001000,0.000000,0.000000,336.000000,0.000000.
7.079676,0.001000,0.001000,0.000000,0.000000,337.000000,0.000000.
7.109850,0.001000,0.001000,0.000000,0.000000,338.000000,0.000000.
7.138752,0.001000,0.001000,0.000000,0.000000,339.000000,0.000000.
7.154678,0.001000,0.001000,0.000000,0.000000,340.000000,0.000000.
7.178688,0.001000,0.001000,0.000000,0.000000,341.000000,0.000000.
7.202309,0.001000,0.001000,0.000000,0.000000,342.000000,0.000000.
7.238197,0.001000,0.001000,0.000000,0.000000,343.000000,0.000000.
7.249953,0.001000,0.001000,0.000000,0.000000,344.000000,0.000000.
7.279129,0.001000,0.001000,0.000000,0.000000,345.000000,0.000000.
7.300663,0.001000,0.001000,0.000000,0.000000,346.000000,0.000000.
7.327073,0.001000,0.001000,0.000000,0.000000,347.000000,0.000000.
7.353286,0.001000,0.001000,0.000000,0.000000,348.000000,0.000000.
7.379443,0.001000,0.001000,0.000000,0.000000,349.000000,0.000000.
7.392665,0.001000,0.001000,0.000000,0.000000,350.000000,0.000000.
7.419880,0.001000,0.001000,0.000000,0.000000,351.000000,0.000000.
7.447803,0.001000,0.001000,0.000000,0.000000,352.000000,0.000000.
7.471933,0.001000,0.001000,0.000000,0.000000,353.000000,0.000000.
7.498570,0.001000,0.001000,0.000000,0.000000,354.000000,0.000000.
7.518831,0.001000,0.001000,0.000000,0.000000,355.000000,0.000000.
7.545248,0.001000,0.001000,0.000000,0.000000,356.000000,0.000000.
7.573462,0.001000,0.001000,0.000000,0.000000,357.000000,0.000000.
7.610985,0.001000,0.001000,0.000000,0.000000,358.000000,0.000000.
7.621485,0.001000,0.001000,0.000000,0.000000,359.000000,0.000000.
7.642955,0.001000,0.001000,0.000000,0.000000,360.000000,0.000000.
7.670036,0.001000,0.001000,0.000000,0.000000,361.000000,0.000000.
7.683251,0.001000,0.001000,0.000000,0.000000,362.000000,0.000000.
7.715801,0.001000,0.001000,0.000000,0.000000,363.000000,0.000000.
7.734785,0.001000,0.001000,0.000000,0.000000,364.000000,0.000000.
7.763592,0.001000,0.001000,0.000000,0.000000,365.000000,0.000000.
7.789391,0.001000,0.001000,0.000000,0.000000,366.000000,0.000000.
7.817314,0.001000,0.001000,0.000000,0.000000,367.000000,0.000000.
7.825450,0.001000,0.001000,0.000000,0.000000,368.000000,0.000000.
7.852634,0.001000,0.001000,0.000000,0.000000,369.000000,0.000000.
7.883736,0.001000,0.001000,0.000000,0.000000,370.000000,0.000000.
7.913759,0.001000,0.001000,0.000000,0.000000,371.000000,0.000000.
7.926022,0.001000,0.001000,0.000000,0.000000,372.000000,0.000000.
7.964156,0.001000,0.001000,0.000000,0.000000,373.000000,0.000000.
7.975474,0.001000,0.001000,0.000000,0.000000,374.000000,0.000000.
7.998291,0.001000,0.001000,0.000000,0.000000,375.000000,0.000000.
8.031575,0.001000,0.001000,0.000000,0.000000,376.000000,0.000000.
8.057054,0.001000,0.001000,0.000000,0.000000,377.000000,0.000000.
8.069058,0.001000,0.001000,0.000000,0.000000,378.000000,0.000000.
8.092702,0.001000,0.001000,0.000000,0.000000,379.000000,0.000000.
8.120013,0.001000,0.001000,0.000000,0.000000,380.000000,0.000000.
8.140973,0.001000,0.001000,0.000000,0.000000,381.000000,0.000000.
