t,Torque1(t),Torque2(t),Steering_Angle(t)
44.185906,11.43049908,25.00000000,1750.000000
44.286542,11.52349854,25.00000000,1738.000000
44.387347,11.53899860,25.00000000,1736.000000
44.467214,11.57774925,25.00000000,1731.000000
44.571637,11.52349854,25.00000000,1738.000000
44.678114,11.59324932,25.00000000,1729.000000
44.783561,9.48524952,25.00000000,2001.000000
44.867294,25.00000000,7.26902485,2057.000000
44.971115,25.00000000,7.43172169,2070.000000
45.077226,25.00000000,7.90150166,2108.000000
45.182359,25.00000000,7.99932480,2116.000000
45.287224,25.00000000,8.07244778,2122.000000
45.369595,25.00000000,9.19183540,2216.000000
45.474511,25.00000000,10.46514511,2328.000000
45.576444,25.00000000,11.66803837,2439.000000
45.680655,25.00000000,12.59360313,2528.000000
45.783656,25.00000000,13.25919628,2594.000000
45.886039,25.00000000,14.01462555,2671.000000
45.972105,25.00000000,14.55993652,2728.000000
46.077874,25.00000000,15.01970291,2777.000000
46.183156,25.00000000,15.02900124,2778.000000
46.269877,25.00000000,15.03827572,2779.000000
46.373882,25.00000000,15.03827572,2779.000000
46.479277,25.00000000,15.03827572,2779.000000
46.584168,25.00000000,15.03827572,2779.000000
46.669308,25.00000000,14.93585110,2768.000000
46.772670,25.00000000,14.31262493,2702.000000
46.877472,25.00000000,13.77177238,2646.000000
46.982814,25.00000000,12.78698444,2547.000000
47.085688,25.00000000,11.94188595,2465.000000
47.187357,25.00000000,11.06817722,2383.000000
47.273783,25.00000000,9.98368263,2285.000000
47.377274,25.00000000,8.59053135,2165.000000
47.482346,25.00000000,7.65531063,2088.000000
47.586148,9.25274944,25.00000000,2031.000000
47.671024,9.88824940,25.00000000,1949.000000
47.773592,10.57799911,25.00000000,1860.000000
47.877883,10.63999939,25.00000000,1852.000000
47.983547,10.95774937,25.00000000,1811.000000
48.068224,0.00000000,0.00000000,1811.000000
48.174434,0.00000000,0.00000000,1759.000000
48.279086,0.00000000,0.00000000,1737.000000
48.383088,0.00000000,0.00000000,1690.000000
48.476677,0.00000000,0.00000000,1632.000000
48.581398,0.25558001,0.50000000,1576.000000
48.684362,0.51766998,1.00000000,1555.000000
48.771491,0.77696997,1.50000000,1554.000000
48.876406,0.94233990,2.00000000,1705.000000
48.980845,1.05779994,2.50000000,1860.000000
49.083893,1.14752984,3.00000000,1991.000000
49.186011,3.50000000,1.05612564,2079.000000
49.275928,4.00000000,1.36301804,2159.000000
49.384774,4.50000000,1.68380284,2230.000000
49.471533,5.00000000,2.05070019,2309.000000
49.576066,5.50000000,2.27296925,2316.000000
49.679951,6.00000000,2.47960281,2316.000000
49.769283,6.50000000,2.62800097,2296.000000
49.874671,7.00000000,2.76371479,2275.000000
49.978822,7.50000000,2.84791946,2242.000000
50.083325,8.00000000,2.68767166,2149.000000
50.167605,3.18018961,8.50000000,2018.000000
50.270780,3.50396967,9.00000000,1969.000000
50.373899,3.82232451,9.50000000,1927.000000
50.478214,4.09789991,10.00000000,1903.000000
50.578210,4.39393473,10.50000000,1875.000000
50.672129,4.76343966,11.00000000,1828.000000
50.775270,5.08334446,11.50000000,1799.000000
50.879011,5.69123983,12.00000000,1695.000000
50.981579,6.35074997,12.50000000,1586.000000
51.084034,6.93523884,13.00000000,1504.000000
51.183880,7.56189013,13.50000000,1418.000000
51.272447,8.15009975,14.00000000,1347.000000
51.374396,8.74233913,14.50000000,1280.000000
51.476064,9.29024887,15.00000000,1227.000000
51.580204,9.68641472,15.50000000,1209.000000
51.681399,9.97904015,16.00000000,1213.000000
51.783835,9.33949471,16.50000000,1399.000000
51.883532,8.73188019,17.00000000,1568.000000
51.986139,8.35939980,17.50000000,1684.000000
52.074897,8.01791954,18.00000000,1788.000000
52.178407,7.63272905,18.50000000,1894.000000
52.283759,7.53863001,19.00000000,1945.000000
52.368013,7.19900942,19.50000000,2034.000000
52.470877,20.00000000,6.33100510,2109.000000
52.573179,20.50000000,6.82794094,2143.000000
52.673274,21.00000000,7.45520067,2189.000000
52.777769,21.50000000,7.70360851,2196.000000
52.881284,22.00000000,7.50712109,2160.000000
52.984724,22.50000000,7.13338852,2110.000000
53.068555,8.63373947,23.00000000,2014.000000
53.172170,9.49164963,23.50000000,1922.000000
53.275370,10.82447815,24.00000000,1770.000000
53.378830,11.36138439,24.50000000,1729.000000
53.481245,12.21324921,25.00000000,1649.000000
53.583912,13.63925076,25.00000000,1465.000000
53.668315,14.58475018,25.00000000,1343.000000
53.773305,15.08074951,25.00000000,1279.000000
53.876548,15.20474815,25.00000000,1263.000000
53.968408,15.22024918,25.00000000,1261.000000
54.071393,15.28224945,25.00000000,1253.000000
54.174527,14.45300007,25.00000000,1360.000000
54.276030,13.46099949,25.00000000,1488.000000
54.379150,12.29849911,25.00000000,1638.000000
54.481885,11.46924973,25.00000000,1745.000000
54.583556,10.52375031,25.00000000,1867.000000
54.684971,9.58599854,25.00000000,1988.000000
54.770635,25.00000000,7.41922855,2069.000000
54.873758,25.00000000,7.96269178,2113.000000
54.975869,25.00000000,8.65010071,2170.000000
55.078787,25.00000000,8.83982182,2186.000000
55.182067,25.00000000,8.83982182,2186.000000
55.285742,25.00000000,7.76638985,2097.000000
55.371557,9.29150009,25.00000000,2026.000000
55.473111,10.32999897,25.00000000,1892.000000
55.576611,11.31424904,25.00000000,1765.000000
55.679830,12.21324921,25.00000000,1649.000000
55.782903,12.74800014,25.00000000,1580.000000
55.883541,13.39125061,25.00000000,1497.000000
55.986111,14.11975002,25.00000000,1403.000000
56.071252,14.60799885,25.00000000,1340.000000
56.177687,14.92574978,25.00000000,1299.000000
56.279035,15.38299942,25.00000000,1240.000000
56.380552,16.05724907,25.00000000,1153.000000
56.481728,16.61524963,25.00000000,1081.000000
56.582305,16.91749954,25.00000000,1042.000000
56.684921,17.06475067,25.00000000,1023.000000
56.769518,17.07249832,25.00000000,1022.000000
56.870887,17.07249832,25.00000000,1022.000000
56.975299,16.90200043,25.00000000,1044.000000
57.079480,16.43700027,25.00000000,1104.000000
57.182625,15.96424866,25.00000000,1165.000000
57.286334,0.00000000,0.00000000,1221.000000
57.374859,0.00000000,0.00000000,1269.000000
57.478256,0.00000000,0.00000000,1285.000000
57.581326,0.00000000,0.00000000,1286.000000
57.681334,0.00000000,0.00000000,1286.000000
57.783340,0.00000000,0.00000000,1286.000000
57.884271,0.00000000,0.00000000,1280.000000
57.986951,0.00000000,0.00000000,1283.000000
58.070943,0.00000000,0.00000000,1287.000000
58.172625,0.00000000,0.00000000,1285.000000
58.275320,0.00000000,0.00000000,1294.000000
58.379295,0.00000000,0.00000000,1326.000000
58.481287,0.00000000,0.00000000,1326.000000
58.583624,0.00000000,0.00000000,1326.000000
58.683621,0.00000000,0.00000000,1326.000000
58.786091,0.00000000,0.00000000,1326.000000
58.873003,0.00000000,0.00000000,1326.000000
58.979587,0.00000000,0.00000000,1326.000000
59.083501,0.00000000,0.00000000,1326.000000
59.186107,0.00000000,0.00000000,1326.000000
59.276575,0.00000000,0.00000000,1326.000000
59.371140,0.00000000,0.00000000,1326.000000
59.473381,0.00000000,0.00000000,1326.000000
59.575069,0.00000000,0.00000000,1327.000000
59.680657,0.00000000,0.00000000,1332.000000
59.784790,0.00000000,0.00000000,1302.000000
59.887170,0.00000000,0.00000000,1191.000000
59.987369,0.00000000,0.00000000,860.000000
60.075363,0.00000000,0.00000000,612.000000
60.179726,0.00000000,0.00000000,461.000000
60.282803,0.00000000,0.00000000,383.000000
60.384962,0.00000000,0.00000000,370.000000
60.483280,0.00000000,0.00000000,370.000000
60.586089,0.00000000,0.00000000,465.000000
60.686713,0.00000000,0.00000000,659.000000
60.775195,0.00000000,0.00000000,811.000000
60.877397,0.00000000,0.00000000,978.000000
