INFO:root:2016-12-22 11:50:12.328622: Integer Speed =0.
INFO:root:2016-12-22 11:50:12.328997: Decimal Speed =0.
INFO:root:2016-12-22 11:50:12.329323: Actual Speed =0.0.
INFO:root:2016-12-22 11:50:12.329982: Integer Speed =0.
INFO:root:2016-12-22 11:50:12.330286: Decimal Speed =0.
INFO:root:2016-12-22 11:50:12.330567: Actual Speed =0.0.
INFO:root:2016-12-22 11:50:12.331224: Integer Speed =0.
INFO:root:2016-12-22 11:50:12.331579: Decimal Speed =0.
INFO:root:2016-12-22 11:50:12.331865: Actual Speed =0.0.
INFO:root:2016-12-22 11:50:12.332520: Integer Speed =0.
INFO:root:2016-12-22 11:50:12.332809: Decimal Speed =0.
INFO:root:2016-12-22 11:50:12.333068: Actual Speed =0.0.
INFO:root:2016-12-22 11:50:12.333718: Integer Speed =14.
INFO:root:2016-12-22 11:50:12.334018: Decimal Speed =983.
INFO:root:2016-12-22 11:50:12.334274: Actual Speed =14.983.
INFO:root:2016-12-22 11:50:12.334927: Integer Speed =0.
INFO:root:2016-12-22 11:50:12.335336: Decimal Speed =0.
INFO:root:2016-12-22 11:50:12.335734: Actual Speed =0.0.
INFO:root:2016-12-22 11:50:12.336602: Integer Speed =0.
INFO:root:2016-12-22 11:50:12.336957: Decimal Speed =0.
INFO:root:2016-12-22 11:50:12.337238: Actual Speed =0.0.
INFO:root:2016-12-22 11:50:12.337877: Integer Speed =0.
INFO:root:2016-12-22 11:50:12.338173: Decimal Speed =0.
INFO:root:2016-12-22 11:50:12.338448: Actual Speed =0.0.
INFO:root:2016-12-22 11:50:12.339096: Integer Speed =0.
INFO:root:2016-12-22 11:50:12.339403: Decimal Speed =15.
INFO:root:2016-12-22 11:50:12.339664: Actual Speed =0.015.
INFO:root:2016-12-22 11:50:12.340389: Integer Speed =22.
INFO:root:2016-12-22 11:50:12.340710: Decimal Speed =0.
INFO:root:2016-12-22 11:50:12.341075: Actual Speed =22.0.
INFO:root:2016-12-22 11:50:12.341767: Integer Speed =0.
INFO:root:2016-12-22 11:50:12.342053: Decimal Speed =0.
INFO:root:2016-12-22 11:50:12.342477: Actual Speed =0.0.
INFO:root:2016-12-22 11:50:12.343382: Integer Speed =0.
INFO:root:2016-12-22 11:50:12.343726: Decimal Speed =0.
INFO:root:2016-12-22 11:50:12.343988: Actual Speed =0.0.
INFO:root:2016-12-22 11:50:12.344686: Integer Speed =0.
INFO:root:2016-12-22 11:50:12.345204: Decimal Speed =0.
INFO:root:2016-12-22 11:50:12.345937: Actual Speed =0.0.
INFO:root:2016-12-22 11:50:12.347752: Integer Speed =14.
INFO:root:2016-12-22 11:50:12.348884: Decimal Speed =983.
INFO:root:2016-12-22 11:50:12.350288: Actual Speed =14.983.
INFO:root:2016-12-22 11:50:12.351636: Integer Speed =0.
INFO:root:2016-12-22 11:50:12.352191: Decimal Speed =3587.
INFO:root:2016-12-22 11:50:12.352662: Actual Speed =3.587.
INFO:root:2016-12-22 11:50:12.353490: Integer Speed =55040.
INFO:root:2016-12-22 11:50:12.353955: Decimal Speed =0.
INFO:root:2016-12-22 11:50:12.354569: Actual Speed =55040.0.
INFO:root:2016-12-22 11:50:12.355449: Integer Speed =0.
INFO:root:2016-12-22 11:50:12.355986: Decimal Speed =0.
INFO:root:2016-12-22 11:50:12.356517: Actual Speed =0.0.
INFO:root:2016-12-22 11:50:12.357353: Integer Speed =0.
INFO:root:2016-12-22 11:50:12.357830: Decimal Speed =0.
INFO:root:2016-12-22 11:50:12.358309: Actual Speed =0.0.
INFO:root:2016-12-22 11:50:12.359239: Integer Speed =15.
INFO:root:2016-12-22 11:50:12.359871: Decimal Speed =22.
INFO:root:2016-12-22 11:50:12.360406: Actual Speed =15.022.
INFO:root:2016-12-22 11:50:12.361102: Integer Speed =0.
INFO:root:2016-12-22 11:50:12.361390: Decimal Speed =0.
INFO:root:2016-12-22 11:50:12.361656: Actual Speed =0.0.
INFO:root:2016-12-22 11:50:12.362352: Integer Speed =0.
INFO:root:2016-12-22 11:50:12.362769: Decimal Speed =0.
INFO:root:2016-12-22 11:50:12.363081: Actual Speed =0.0.
INFO:root:2016-12-22 11:50:12.363835: Integer Speed =0.
INFO:root:2016-12-22 11:50:12.364335: Decimal Speed =0.
INFO:root:2016-12-22 11:50:12.364659: Actual Speed =0.0.
INFO:root:2016-12-22 11:50:12.365361: Integer Speed =14.
INFO:root:2016-12-22 11:50:12.365725: Decimal Speed =983.
INFO:root:2016-12-22 11:50:12.366059: Actual Speed =14.983.
INFO:root:2016-12-22 11:50:12.366713: Integer Speed =0.
INFO:root:2016-12-22 11:50:12.366963: Decimal Speed =0.
INFO:root:2016-12-22 11:50:12.367203: Actual Speed =0.0.
INFO:root:2016-12-22 11:50:12.367818: Integer Speed =0.
INFO:root:2016-12-22 11:50:12.368053: Decimal Speed =0.
INFO:root:2016-12-22 11:50:12.368285: Actual Speed =0.0.
INFO:root:2016-12-22 11:50:12.368895: Integer Speed =0.
INFO:root:2016-12-22 11:50:12.369130: Decimal Speed =0.
INFO:root:2016-12-22 11:50:12.369361: Actual Speed =0.0.
INFO:root:2016-12-22 11:50:12.369971: Integer Speed =0.
INFO:root:2016-12-22 11:50:12.370205: Decimal Speed =0.
INFO:root:2016-12-22 11:50:12.370435: Actual Speed =0.0.
INFO:root:2016-12-22 11:50:12.371046: Integer Speed =14.
