Time(s),StartByte(2),PayloadSize(#ofBytes),Command,Payload2,Payload3,Payload4,Payload5,CRCByte1,CRCByte2,EndByte(3)
34.960560,2,5,6,0,0,0,0,205,133,3,
35.073268,2,5,6,0,0,0,0,205,133,3,
35.167377,2,5,6,0,0,0,0,205,133,3,
35.259503,2,5,6,0,0,0,0,205,133,3,
35.373910,2,5,6,0,0,0,0,205,133,3,
35.466659,2,5,6,0,0,0,0,205,133,3,
35.559231,2,5,6,0,0,0,0,205,133,3,
35.672518,2,5,6,0,0,0,0,205,133,3,
35.765404,2,5,6,0,0,0,0,205,133,3,
35.858243,2,5,6,0,0,0,0,205,133,3,
35.972885,2,5,6,0,0,0,0,205,133,3,
36.068254,2,5,6,0,0,0,0,205,133,3,
36.162414,2,5,6,0,0,0,0,205,133,3,
36.257820,2,5,6,0,0,0,0,205,133,3,
36.358025,2,5,6,0,0,0,0,205,133,3,
36.470298,2,5,6,0,0,0,0,205,133,3,
36.562385,2,5,6,0,0,0,0,205,133,3,
36.657990,2,5,6,0,0,0,0,205,133,3,
36.771184,2,5,6,0,0,0,0,205,133,3,
36.865918,2,5,6,0,0,0,0,205,133,3,
36.960708,2,5,6,0,0,0,0,205,133,3,
37.073909,2,5,6,0,0,0,0,205,133,3,
37.167375,2,5,6,0,0,0,0,205,133,3,
37.262028,2,5,6,0,0,0,0,205,133,3,
37.356802,2,5,6,0,0,0,0,205,133,3,
37.471155,2,5,6,0,0,0,0,205,133,3,
37.562730,2,5,6,0,0,0,0,205,133,3,
37.659136,2,5,6,0,0,0,0,205,133,3,
37.772834,2,5,6,0,0,0,0,205,133,3,
37.864959,2,5,6,0,0,0,0,205,133,3,
37.963036,2,5,6,0,0,0,0,205,133,3,
38.077339,2,5,6,0,0,0,0,205,133,3,
38.169276,2,5,6,0,0,0,0,205,133,3,
38.262755,2,5,6,0,0,0,0,205,133,3,
38.357086,2,5,6,0,0,0,0,205,133,3,
38.472751,2,5,6,0,0,0,0,205,133,3,
38.566184,2,5,6,0,0,0,0,205,133,3,
38.660597,2,5,6,0,0,0,0,205,133,3,
38.772744,2,5,6,0,0,0,0,205,133,3,
38.866297,2,5,6,0,0,0,0,205,133,3,
38.963216,2,5,6,0,0,0,0,205,133,3,
39.076517,2,5,6,0,0,0,0,205,133,3,
39.169469,2,5,6,0,0,0,0,205,133,3,
39.264888,2,5,6,0,0,0,0,205,133,3,
39.366321,2,5,6,0,0,0,0,205,133,3,
39.465642,2,5,6,0,0,0,0,205,133,3,
39.561081,2,5,6,0,0,0,0,205,133,3,
39.676058,2,5,6,0,0,0,0,205,133,3,
39.772247,2,5,6,0,0,0,0,205,133,3,
39.865845,2,5,6,0,0,0,0,205,133,3,
39.960765,2,5,6,0,0,0,0,205,133,3,
40.075262,2,5,6,0,0,0,0,205,133,3,
40.167408,2,5,6,0,0,0,0,205,133,3,
40.261571,2,5,6,0,0,0,0,205,133,3,
40.358696,2,5,6,0,0,0,0,205,133,3,
40.472875,2,5,6,0,0,0,0,205,133,3,
40.566528,2,5,6,0,0,0,0,205,133,3,
40.658579,2,5,6,0,0,0,0,205,133,3,
40.771978,2,5,6,0,0,0,0,205,133,3,
40.866233,2,5,6,0,0,0,0,205,133,3,
40.959721,2,5,6,0,0,0,0,205,133,3,
41.072998,2,5,6,0,0,0,0,205,133,3,
41.166308,2,5,6,0,0,0,0,205,133,3,
41.260029,2,5,6,0,0,0,0,205,133,3,
41.375654,2,5,6,0,0,0,0,205,133,3,
41.467335,2,5,6,0,0,0,0,205,133,3,
41.560915,2,5,6,0,0,0,0,205,133,3,
41.676348,2,5,6,0,0,0,0,205,133,3,
41.768913,2,5,6,0,0,0,0,205,133,3,
41.863307,2,5,6,0,0,2,89,96,59,3,
41.957604,2,5,6,0,0,4,177,182,187,3,
42.069957,2,5,6,0,0,7,9,197,59,3,
42.164451,2,5,6,0,0,9,97,11,154,3,
42.258039,2,5,6,0,0,11,185,39,141,3,
42.371092,2,5,6,0,0,14,16,252,187,3,
42.467217,2,5,6,0,0,16,104,35,88,3,
42.560720,2,5,6,0,0,18,192,113,216,3,
42.672114,2,5,6,0,0,21,24,162,58,3,
42.766362,2,5,6,0,0,23,112,41,246,3,
42.859970,2,5,6,0,0,25,200,44,42,3,
42.975037,2,5,6,0,0,28,32,175,249,3,
43.068208,2,5,6,0,0,30,120,18,102,3,
43.162440,2,5,6,0,0,32,208,0,30,3,
43.277177,2,5,6,0,0,35,40,59,90,3,
43.370577,2,5,6,0,0,37,129,181,63,3,
43.464023,2,5,6,0,0,39,217,8,160,3,
43.575467,2,5,6,0,0,42,49,2,218,3,
43.664720,2,5,6,0,0,0,0,205,133,3,
43.760521,2,5,6,0,0,0,0,205,133,3,
43.870840,2,5,6,0,0,0,0,205,133,3,
43.965367,2,5,6,0,0,0,0,205,133,3,
44.061439,2,5,6,0,0,0,0,205,133,3,
44.175396,2,5,6,0,0,0,0,205,133,3,
44.269681,2,5,6,0,0,0,0,205,133,3,
44.364298,2,5,6,0,0,0,0,205,133,3,
44.457555,2,5,6,0,0,0,0,205,133,3,
44.570978,2,5,6,0,0,0,0,205,133,3,
44.666057,2,5,6,0,0,0,0,205,133,3,
44.760718,2,5,6,0,0,0,0,205,133,3,
44.875750,2,5,6,0,0,0,0,205,133,3,
44.969555,2,5,6,0,0,0,0,205,133,3,
45.062901,2,5,6,0,0,0,0,205,133,3,
45.160258,2,5,6,0,0,0,0,205,133,3,
45.274067,2,5,6,0,0,0,0,205,133,3,
